"Date","StateAbbr","State","City","CityID","CountyFips","OneBed","TwoBeds","ThreeBeds","FourBeds","Studio","SP500","InterestRate","HomePriceIndex","AdjPopulation","AdjViolentCrime","AdjMurder","AdjLarcenyTheft","AdjEarnS","AdjPayroll"
2014-01-01,"TX","Texas","Addison",6386,"48113",872,1084,1470,1872,732,1831.97998,2.985,159.391,16061,67,0,541,5725,25402227075
2014-02-01,"TX","Texas","Addison",6386,"48113",876,1089,1476,1881,735,1741.890015,2.581,159.904,16066,67,0,544,5380,24034086412
2014-03-01,"TX","Texas","Addison",6386,"48113",878,1091,1479,1883,736,1845.72998,2.607,161.222,16072,67,0,546,5035,22665945749
2014-04-01,"TX","Texas","Addison",6386,"48113",885,1099,1491,1899,742,1885.52002,2.759,162.999,16077,66,0,549,5066,22833547588
2014-05-01,"TX","Texas","Addison",6386,"48113",888,1104,1497,1906,745,1883.680054,2.606,164.71,16082,66,0,552,5097,23001149427
2014-06-01,"TX","Texas","Addison",6386,"48113",892,1108,1502,1913,748,1924.969971,2.534,166.236,16088,66,0,554,5128,23168751266
2014-07-01,"TX","Texas","Addison",6386,"48113",889,1105,1498,1908,746,1973.319946,2.563,167.156,16093,66,0,557,5275.66666666667,24052071132.6667
2014-08-01,"TX","Texas","Addison",6386,"48113",892,1109,1503,1915,749,1925.150024,2.505,167.47,16098,66,0,560,5423.33333333333,24935390999.3333
2014-09-01,"TX","Texas","Addison",6386,"48113",899,1118,1515,1930,755,2002.280029,2.419,167.264,16104,66,0,562,5571,25818710866
2014-10-01,"TX","Texas","Addison",6386,"48113",909,1129,1531,1950,762,1946.160034,2.403,166.934,16109,66,0,565,5632.5,26018278119
2014-11-01,"TX","Texas","Addison",6386,"48113",912,1134,1537,1958,766,2017.810059,2.348,166.685,16114,65,0,568,5694,26217845372
2014-12-01,"TX","Texas","Addison",6386,"48113",912,1133,1536,1957,765,2053.439941,2.218,166.495,16120,65,0,570,5755.5,26417412625
2015-01-01,"TX","Texas","Addison",6386,"48113",909,1130,1532,1951,763,2058.199951,2.123,166.297,16125,65,0,573,5817,26616979878
2015-02-01,"TX","Texas","Addison",6386,"48113",909,1129,1531,1950,763,2020.849976,1.673,166.688,16120,68,0,579,5525.5,25481399252.5
2015-03-01,"TX","Texas","Addison",6386,"48113",915,1136,1541,1963,767,2117.389893,2.084,168.142,16115,71,0,586,5234,24345818627
2015-04-01,"TX","Texas","Addison",6386,"48113",923,1147,1554,1980,774,2059.689941,1.868,170.012,16110,74,0,592,5233.33333333333,24386989824
2015-05-01,"TX","Texas","Addison",6386,"48113",925,1149,1558,1985,776,2108.290039,2.117,171.887,16106,77,0,599,5232.66666666667,24428161021
2015-06-01,"TX","Texas","Addison",6386,"48113",928,1153,1563,1990,778,2111.72998,2.192,173.488,16101,80,0,605,5232,24469332218
2015-07-01,"TX","Texas","Addison",6386,"48113",932,1158,1570,2000,782,2077.419922,2.418,174.535,16096,83,0,612,5439.33333333333,25685243687
2015-08-01,"TX","Texas","Addison",6386,"48113",942,1170,1586,2020,790,2098.040039,2.15,174.983,16091,86,1,618,5646.66666666667,26901155156
2015-09-01,"TX","Texas","Addison",6386,"48113",943,1172,1589,2023,791,1913.849976,2.172,175.099,16086,89,1,624,5854,28117066625
2015-10-01,"TX","Texas","Addison",6386,"48113",942,1170,1587,2021,790,1923.819946,2.042,175.112,16082,92,1,631,5825,27871939279
2015-11-01,"TX","Texas","Addison",6386,"48113",944,1173,1590,2025,792,2104.050049,2.187,175.214,16077,95,1,637,5796,27626811933
2015-12-01,"TX","Texas","Addison",6386,"48113",946,1175,1593,2030,794,2102.629883,2.155,175.191,16072,98,1,644,5767,27381684587
2016-01-01,"TX","Texas","Addison",6386,"48113",956,1188,1611,2052,803,2012.660034,2.245,175.105,16067,101,1,650,5738,27136557241
2016-02-01,"TX","Texas","Addison",6386,"48113",971,1206,1635,2083,814,1939.380005,1.966,175.343,16044,100,1,643,5512.5,26257574919
2016-03-01,"TX","Texas","Addison",6386,"48113",984,1222,1657,2111,825,1978.349976,1.834,176.659,16022,100,1,636,5287,25378592597
2016-04-01,"TX","Texas","Addison",6386,"48113",979,1217,1650,2101,822,2072.780029,1.792,178.55,15999,100,1,629,5368.33333333333,25839303290.6667
2016-05-01,"TX","Texas","Addison",6386,"48113",970,1205,1634,2081,814,2081.429932,1.865,180.404,15976,99,1,622,5449.66666666667,26300013984.3333
2016-06-01,"TX","Texas","Addison",6386,"48113",970,1205,1633,2081,814,2099.330078,1.846,181.991,15954,98,1,615,5531,26760724678
2016-07-01,"TX","Texas","Addison",6386,"48113",979,1216,1649,2100,821,2102.949951,1.456,183.11,15931,98,0,608,5591.33333333333,27212897376
2016-08-01,"TX","Texas","Addison",6386,"48113",986,1225,1661,2116,827,2170.840088,1.496,183.761,15908,98,0,600,5651.66666666667,27665070074
2016-09-01,"TX","Texas","Addison",6386,"48113",997,1239,1679,2139,836,2170.860107,1.57,184.059,15886,97,0,593,5712,28117242772
2016-10-01,"TX","Texas","Addison",6386,"48113",1001,1244,1686,2148,840,2161.199951,1.622,184.141,15863,96,0,586,5826.75,28541283904.5
2016-11-01,"TX","Texas","Addison",6386,"48113",1000,1243,1685,2147,839,2111.719971,1.82,184.363,15840,96,0,579,5941.5,28965325037
2016-12-01,"TX","Texas","Addison",6386,"48113",994,1235,1675,2133,834,2191.080078,2.441,184.541,15818,96,0,572,6056.25,29389366169.5
2017-01-01,"TX","Texas","Addison",6386,"48113",994,1235,1675,2134,834,2257.830078,2.45,184.795,15795,95,0,565,6171,29813407302
2014-01-01,"NM","New Mexico","Albuquerque",6145,"35001",652,800,1165,1410,508,1831.97998,2.985,159.391,558874,4934,30,20756,3640,3335343492
2014-02-01,"NM","New Mexico","Albuquerque",6145,"35001",652,799,1164,1409,507,1741.890015,2.581,159.904,558945,4973,31,20928,3606.5,3317061207.5
2014-03-01,"NM","New Mexico","Albuquerque",6145,"35001",653,800,1165,1410,508,1845.72998,2.607,161.222,559015,5013,32,21100,3573,3298778923
2014-04-01,"NM","New Mexico","Albuquerque",6145,"35001",654,802,1167,1413,509,1885.52002,2.759,162.999,559086,5052,33,21272,3585.66666666667,3309609520
2014-05-01,"NM","New Mexico","Albuquerque",6145,"35001",655,803,1169,1415,510,1883.680054,2.606,164.71,559156,5091,34,21443,3598.33333333333,3320440117
2014-06-01,"NM","New Mexico","Albuquerque",6145,"35001",656,804,1171,1417,510,1924.969971,2.534,166.236,559227,5131,35,21615,3611,3331270714
2014-07-01,"NM","New Mexico","Albuquerque",6145,"35001",657,806,1173,1419,511,1973.319946,2.563,167.156,559298,5170,36,21787,3708,3449955005
2014-08-01,"NM","New Mexico","Albuquerque",6145,"35001",658,806,1174,1421,512,1925.150024,2.505,167.47,559368,5209,38,21959,3805,3568639296
2014-09-01,"NM","New Mexico","Albuquerque",6145,"35001",658,807,1174,1421,512,2002.280029,2.419,167.264,559439,5249,39,22131,3902,3687323587
2014-10-01,"NM","New Mexico","Albuquerque",6145,"35001",657,806,1173,1420,511,1946.160034,2.403,166.934,559509,5288,40,22302,3846.75,3621137212.5
2014-11-01,"NM","New Mexico","Albuquerque",6145,"35001",657,806,1173,1419,511,2017.810059,2.348,166.685,559580,5327,41,22474,3791.5,3554950838
2014-12-01,"NM","New Mexico","Albuquerque",6145,"35001",657,805,1172,1419,511,2053.439941,2.218,166.495,559650,5367,42,22646,3736.25,3488764463.5
2015-01-01,"NM","New Mexico","Albuquerque",6145,"35001",656,805,1172,1418,511,2058.199951,2.123,166.297,559721,5406,43,22818,3681,3422578089
2015-02-01,"NM","New Mexico","Albuquerque",6145,"35001",657,806,1173,1420,511,2020.849976,1.673,166.688,559874,5476,44,22965,3676.5,3456264244.5
2015-03-01,"NM","New Mexico","Albuquerque",6145,"35001",657,806,1173,1420,511,2117.389893,2.084,168.142,560028,5546,46,23112,3672,3489950400
2015-04-01,"NM","New Mexico","Albuquerque",6145,"35001",658,806,1174,1421,512,2059.689941,1.868,170.012,560181,5616,48,23259,3683,3484672243
2015-05-01,"NM","New Mexico","Albuquerque",6145,"35001",658,807,1175,1422,512,2108.290039,2.117,171.887,560334,5686,49,23406,3694,3479394086
2015-06-01,"NM","New Mexico","Albuquerque",6145,"35001",663,813,1184,1433,516,2111.72998,2.192,173.488,560487,5756,50,23553,3705,3474115929
2015-07-01,"NM","New Mexico","Albuquerque",6145,"35001",668,819,1192,1443,519,2077.419922,2.418,174.535,560640,5826,52,23700,3819,3607168859.66667
2015-08-01,"NM","New Mexico","Albuquerque",6145,"35001",670,822,1197,1449,522,2098.040039,2.15,174.983,560794,5895,54,23847,3933,3740221790.33333
2015-09-01,"NM","New Mexico","Albuquerque",6145,"35001",669,820,1194,1445,520,1913.849976,2.172,175.099,560947,5965,55,23994,4047,3873274721
2015-10-01,"NM","New Mexico","Albuquerque",6145,"35001",667,818,1191,1442,519,1923.819946,2.042,175.112,561100,6035,56,24141,3954.75,3775394002.75
2015-11-01,"NM","New Mexico","Albuquerque",6145,"35001",668,819,1191,1442,519,2104.050049,2.187,175.214,561254,6105,58,24288,3862.5,3677513284.5
2015-12-01,"NM","New Mexico","Albuquerque",6145,"35001",670,822,1196,1448,521,2102.629883,2.155,175.191,561407,6175,60,24435,3770.25,3579632566.25
2016-01-01,"NM","New Mexico","Albuquerque",6145,"35001",671,823,1197,1449,522,2012.660034,2.245,175.105,561560,6245,61,24582,3678,3481751848
2016-02-01,"NM","New Mexico","Albuquerque",6145,"35001",670,822,1196,1448,521,1939.380005,1.966,175.343,561545,6365,62,24756,3746.5,3578246584.5
2016-03-01,"NM","New Mexico","Albuquerque",6145,"35001",671,823,1197,1449,522,1978.349976,1.834,176.659,561529,6485,62,24930,3815,3674741321
2016-04-01,"NM","New Mexico","Albuquerque",6145,"35001",675,827,1204,1457,525,2072.780029,1.792,178.55,561514,6605,63,25104,3863.33333333333,3711497170.66667
2016-05-01,"NM","New Mexico","Albuquerque",6145,"35001",678,832,1211,1466,528,2081.429932,1.865,180.404,561498,6725,64,25278,3911.66666666667,3748253020.33333
2016-06-01,"NM","New Mexico","Albuquerque",6145,"35001",679,832,1212,1467,528,2099.330078,1.846,181.991,561483,6845,65,25452,3960,3785008870
2016-07-01,"NM","New Mexico","Albuquerque",6145,"35001",680,834,1213,1469,529,2102.949951,1.456,183.11,561468,6966,66,25626,3962,3802877379.66667
2016-08-01,"NM","New Mexico","Albuquerque",6145,"35001",680,833,1213,1468,529,2170.840088,1.496,183.761,561452,7086,66,25800,3964,3820745889.33333
2016-09-01,"NM","New Mexico","Albuquerque",6145,"35001",680,834,1214,1469,529,2170.860107,1.57,184.059,561437,7206,67,25974,3966,3838614399
2016-10-01,"NM","New Mexico","Albuquerque",6145,"35001",681,835,1216,1471,530,2161.199951,1.622,184.141,561421,7326,68,26148,3965.25,3824388540
2016-11-01,"NM","New Mexico","Albuquerque",6145,"35001",681,835,1216,1471,530,2111.719971,1.82,184.363,561406,7446,68,26322,3964.5,3810162681
2016-12-01,"NM","New Mexico","Albuquerque",6145,"35001",682,836,1217,1473,530,2191.080078,2.441,184.541,561390,7566,69,26496,3963.75,3795936822
2017-01-01,"NM","New Mexico","Albuquerque",6145,"35001",682,837,1218,1474,531,2257.830078,2.45,184.795,561375,7686,70,26670,3963,3781710963
2014-01-01,"VA","Virginia","Alexandria",1465,"51510",1466,1693,2233,2769,1395,1831.97998,2.985,159.391,151065,276,4,2438,5421,1269222388
2014-02-01,"VA","Virginia","Alexandria",1465,"51510",1468,1696,2236,2773,1398,1741.890015,2.581,159.904,151202,279,4,2432,5433,1277165617
2014-03-01,"VA","Virginia","Alexandria",1465,"51510",1469,1697,2239,2776,1399,1845.72998,2.607,161.222,151339,282,4,2427,5445,1285108846
2014-04-01,"VA","Virginia","Alexandria",1465,"51510",1479,1708,2253,2794,1408,1885.52002,2.759,162.999,151476,285,4,2422,5411,1280313619.33333
2014-05-01,"VA","Virginia","Alexandria",1465,"51510",1489,1720,2269,2814,1418,1883.680054,2.606,164.71,151613,288,4,2416,5377,1275518392.66667
2014-06-01,"VA","Virginia","Alexandria",1465,"51510",1502,1735,2288,2837,1430,1924.969971,2.534,166.236,151750,291,4,2410,5343,1270723166
2014-07-01,"VA","Virginia","Alexandria",1465,"51510",1511,1745,2302,2854,1438,1973.319946,2.563,167.156,151888,294,4,2405,5565,1321846827.33333
2014-08-01,"VA","Virginia","Alexandria",1465,"51510",1514,1749,2307,2861,1442,1925.150024,2.505,167.47,152025,297,4,2400,5787,1372970488.66667
2014-09-01,"VA","Virginia","Alexandria",1465,"51510",1508,1742,2297,2849,1436,2002.280029,2.419,167.264,152162,300,4,2394,6009,1424094150
2014-10-01,"VA","Virginia","Alexandria",1465,"51510",1499,1731,2283,2832,1427,1946.160034,2.403,166.934,152299,303,4,2388,5896.25,1393695985.5
2014-11-01,"VA","Virginia","Alexandria",1465,"51510",1490,1721,2270,2815,1419,2017.810059,2.348,166.685,152436,306,4,2383,5783.5,1363297821
2014-12-01,"VA","Virginia","Alexandria",1465,"51510",1493,1725,2275,2821,1421,2053.439941,2.218,166.495,152573,309,4,2378,5670.75,1332899656.5
2015-01-01,"VA","Virginia","Alexandria",1465,"51510",1488,1719,2267,2811,1417,2058.199951,2.123,166.297,152710,312,4,2372,5558,1302501492
2015-02-01,"VA","Virginia","Alexandria",1465,"51510",1489,1720,2268,2813,1418,2020.849976,1.673,166.688,152927,310,4,2370,5569,1315224269
2015-03-01,"VA","Virginia","Alexandria",1465,"51510",1488,1719,2268,2812,1417,2117.389893,2.084,168.142,153145,308,4,2367,5580,1327947046
2015-04-01,"VA","Virginia","Alexandria",1465,"51510",1496,1728,2279,2826,1424,2059.689941,1.868,170.012,153362,306,5,2365,5541.33333333333,1316367601.33333
2015-05-01,"VA","Virginia","Alexandria",1465,"51510",1498,1730,2282,2830,1426,2108.290039,2.117,171.887,153580,303,5,2362,5502.66666666667,1304788156.66667
2015-06-01,"VA","Virginia","Alexandria",1465,"51510",1501,1734,2287,2837,1430,2111.72998,2.192,173.488,153797,301,5,2360,5464,1293208712
2015-07-01,"VA","Virginia","Alexandria",1465,"51510",1509,1743,2298,2850,1436,2077.419922,2.418,174.535,154014,299,6,2358,5675.66666666667,1352084970.33333
2015-08-01,"VA","Virginia","Alexandria",1465,"51510",1511,1745,2302,2855,1439,2098.040039,2.15,174.983,154232,297,6,2355,5887.33333333333,1410961228.66667
2015-09-01,"VA","Virginia","Alexandria",1465,"51510",1510,1744,2301,2853,1438,1913.849976,2.172,175.099,154449,295,6,2353,6099,1469837487
2015-10-01,"VA","Virginia","Alexandria",1465,"51510",1508,1741,2297,2848,1435,1923.819946,2.042,175.112,154667,292,6,2350,5954.25,1423658394.25
2015-11-01,"VA","Virginia","Alexandria",1465,"51510",1510,1745,2301,2854,1438,2104.050049,2.187,175.214,154884,290,6,2348,5809.5,1377479301.5
2015-12-01,"VA","Virginia","Alexandria",1465,"51510",1517,1752,2311,2866,1444,2102.629883,2.155,175.191,155102,288,7,2345,5664.75,1331300208.75
2016-01-01,"VA","Virginia","Alexandria",1465,"51510",1525,1762,2324,2882,1452,2012.660034,2.245,175.105,155319,286,7,2343,5520,1285121116
2016-02-01,"VA","Virginia","Alexandria",1465,"51510",1530,1768,2331,2891,1457,1939.380005,1.966,175.343,155564,284,7,2318,5520.5,1300043475
2016-03-01,"VA","Virginia","Alexandria",1465,"51510",1530,1767,2331,2890,1456,1978.349976,1.834,176.659,155808,282,7,2294,5521,1314965834
2016-04-01,"VA","Virginia","Alexandria",1465,"51510",1535,1774,2339,2901,1462,2072.780029,1.792,178.55,156053,280,7,2269,5626,1335456237.33333
2016-05-01,"VA","Virginia","Alexandria",1465,"51510",1547,1787,2357,2923,1473,2081.429932,1.865,180.404,156298,278,7,2244,5731,1355946640.66667
2016-06-01,"VA","Virginia","Alexandria",1465,"51510",1555,1796,2368,2937,1480,2099.330078,1.846,181.991,156543,276,7,2219,5836,1376437044
2016-07-01,"VA","Virginia","Alexandria",1465,"51510",1560,1802,2377,2947,1485,2102.949951,1.456,183.11,156788,274,6,2194,5898.66666666667,1404318148
2016-08-01,"VA","Virginia","Alexandria",1465,"51510",1563,1805,2381,2953,1488,2170.840088,1.496,183.761,157032,272,6,2170,5961.33333333333,1432199252
2016-09-01,"VA","Virginia","Alexandria",1465,"51510",1562,1805,2380,2952,1488,2170.860107,1.57,184.059,157277,270,6,2145,6024,1460080356
2016-10-01,"VA","Virginia","Alexandria",1465,"51510",1556,1797,2370,2939,1481,2161.199951,1.622,184.141,157522,268,6,2120,5983.75,1441335028.25
2016-11-01,"VA","Virginia","Alexandria",1465,"51510",1547,1787,2357,2923,1473,2111.719971,1.82,184.363,157766,266,6,2096,5943.5,1422589700.5
2016-12-01,"VA","Virginia","Alexandria",1465,"51510",1540,1779,2347,2910,1467,2191.080078,2.441,184.541,158011,264,6,2071,5903.25,1403844372.75
2017-01-01,"VA","Virginia","Alexandria",1465,"51510",1539,1778,2345,2908,1466,2257.830078,2.45,184.795,158256,262,6,2046,5863,1385099045
2014-01-01,"TX","Texas","Allen",7199,"48085",1073,1333,1807,2302,900,1831.97998,2.985,159.391,93889,73,0,915,5635,5984970804
2014-02-01,"TX","Texas","Allen",7199,"48085",1077,1338,1814,2311,904,1741.890015,2.581,159.904,94118,74,0,908,5356.5,5741607372.5
2014-03-01,"TX","Texas","Allen",7199,"48085",1082,1344,1823,2321,908,1845.72998,2.607,161.222,94348,74,0,900,5078,5498243941
2014-04-01,"TX","Texas","Allen",7199,"48085",1086,1350,1830,2331,912,1885.52002,2.759,162.999,94577,75,0,893,5073.33333333333,5480823095
2014-05-01,"TX","Texas","Allen",7199,"48085",1088,1352,1834,2336,913,1883.680054,2.606,164.71,94807,75,0,885,5068.66666666667,5463402249
2014-06-01,"TX","Texas","Allen",7199,"48085",1096,1361,1846,2351,919,1924.969971,2.534,166.236,95036,76,0,878,5064,5445981403
2014-07-01,"TX","Texas","Allen",7199,"48085",1111,1380,1871,2384,932,1973.319946,2.563,167.156,95266,76,0,870,5166.33333333333,5652945857.66667
2014-08-01,"TX","Texas","Allen",7199,"48085",1133,1408,1909,2432,951,1925.150024,2.505,167.47,95495,77,0,863,5268.66666666667,5859910312.33333
2014-09-01,"TX","Texas","Allen",7199,"48085",1138,1414,1917,2442,955,2002.280029,2.419,167.264,95724,78,0,856,5371,6066874767
2014-10-01,"TX","Texas","Allen",7199,"48085",1135,1411,1912,2436,953,1946.160034,2.403,166.934,95954,78,0,848,5460,6152139747.25
2014-11-01,"TX","Texas","Allen",7199,"48085",1128,1401,1900,2420,946,2017.810059,2.348,166.685,96183,79,0,841,5549,6237404727.5
2014-12-01,"TX","Texas","Allen",7199,"48085",1127,1400,1898,2417,945,2053.439941,2.218,166.495,96413,79,0,833,5638,6322669707.75
2015-01-01,"TX","Texas","Allen",7199,"48085",1127,1400,1898,2418,945,2058.199951,2.123,166.297,96642,80,0,826,5727,6407934688
2015-02-01,"TX","Texas","Allen",7199,"48085",1127,1401,1899,2419,946,2020.849976,1.673,166.688,97007,80,0,835,5464,6182786047.5
2015-03-01,"TX","Texas","Allen",7199,"48085",1126,1399,1897,2416,945,2117.389893,2.084,168.142,97372,80,0,844,5201,5957637407
2015-04-01,"TX","Texas","Allen",7199,"48085",1125,1397,1895,2413,944,2059.689941,1.868,170.012,97736,80,0,854,5202,5965795801.33333
2015-05-01,"TX","Texas","Allen",7199,"48085",1123,1395,1892,2409,942,2108.290039,2.117,171.887,98101,80,0,863,5203,5973954195.66667
2015-06-01,"TX","Texas","Allen",7199,"48085",1123,1396,1892,2410,942,2111.72998,2.192,173.488,98466,80,0,872,5204,5982112590
