"","Location","Location_Type","Year","Month","1br","2br","3br","4br","Studio","Date"
"1","Alabama","State","2014","01",624,758,1013,1178,573,2014-01-01
"2","Alabama","State","2014","02",624,758,1013,1178,573,2014-02-01
"3","Alabama","State","2014","03",625,759,1014,1179,574,2014-03-01
"4","Alabama","State","2014","04",625,759,1015,1180,574,2014-04-01
"5","Alabama","State","2014","05",626,760,1016,1182,575,2014-05-01
"6","Alabama","State","2014","06",627,762,1018,1184,576,2014-06-01
"7","Alabama","State","2014","07",629,765,1022,1188,578,2014-07-01
"8","Alabama","State","2014","08",631,766,1024,1191,580,2014-08-01
"9","Alabama","State","2014","09",631,767,1025,1192,580,2014-09-01
"10","Alabama","State","2014","10",631,766,1024,1191,580,2014-10-01
"11","Alabama","State","2014","11",631,767,1024,1192,580,2014-11-01
"12","Alabama","State","2014","12",632,767,1026,1193,580,2014-12-01
"13","Alabama","State","2015","01",631,767,1025,1192,580,2015-01-01
"14","Alabama","State","2015","02",631,767,1025,1192,580,2015-02-01
"15","Alabama","State","2015","03",632,767,1025,1193,580,2015-03-01
"16","Alabama","State","2015","04",632,768,1027,1194,581,2015-04-01
"17","Alabama","State","2015","05",633,769,1028,1196,582,2015-05-01
"18","Alabama","State","2015","06",633,768,1027,1194,581,2015-06-01
"19","Alabama","State","2015","07",633,769,1027,1195,581,2015-07-01
"20","Alabama","State","2015","08",631,766,1024,1191,579,2015-08-01
"21","Alabama","State","2015","09",630,765,1023,1189,579,2015-09-01
"22","Alabama","State","2015","10",629,765,1022,1189,578,2015-10-01
"23","Alabama","State","2015","11",630,766,1023,1190,579,2015-11-01
"24","Alabama","State","2015","12",633,769,1027,1195,581,2015-12-01
"25","Alabama","State","2016","01",631,766,1024,1191,580,2016-01-01
"26","Alabama","State","2016","02",629,764,1021,1187,578,2016-02-01
"27","Alabama","State","2016","03",625,760,1015,1181,574,2016-03-01
"28","Alabama","State","2016","04",630,765,1022,1189,578,2016-04-01
"29","Alabama","State","2016","05",633,769,1028,1196,582,2016-05-01
"30","Alabama","State","2016","06",637,774,1034,1203,585,2016-06-01
"31","Alabama","State","2016","07",639,776,1037,1206,587,2016-07-01
"32","Alabama","State","2016","08",640,777,1039,1208,588,2016-08-01
"33","Alabama","State","2016","09",640,778,1039,1209,588,2016-09-01
"34","Alabama","State","2016","10",641,779,1041,1210,589,2016-10-01
"35","Alabama","State","2016","11",642,779,1042,1211,589,2016-11-01
"36","Alabama","State","2016","12",643,781,1044,1214,591,2016-12-01
"37","Alabama","State","2017","01",644,783,1046,1216,592,2017-01-01
"38","Alabama","State","2017","02",645,784,1048,1219,593,2017-02-01
"39","Alabama","State","2017","03",646,785,1049,1220,594,2017-03-01
"40","Alabama","State","2017","04",648,787,1052,1224,595,2017-04-01
"41","Alabama","State","2017","05",650,790,1056,1228,598,2017-05-01
"42","Alabama","State","2017","06",653,793,1060,1233,600,2017-06-01
"43","Alabama","State","2017","07",655,796,1063,1237,602,2017-07-01
"44","Alabama","State","2017","08",655,796,1063,1237,602,2017-08-01
"45","Alabama","State","2017","09",654,795,1062,1236,601,2017-09-01
"46","Alabama","State","2017","10",653,794,1061,1234,600,2017-10-01
"47","Alabama","State","2017","11",654,794,1061,1234,600,2017-11-01
"48","Alabama","State","2017","12",653,794,1061,1234,600,2017-12-01
"49","Alabama","State","2018","01",654,795,1062,1235,601,2018-01-01
"50","Alabama","State","2018","02",651,791,1056,1229,598,2018-02-01
"51","Alabama","State","2018","03",651,791,1057,1229,598,2018-03-01
"52","Alabama","State","2018","04",654,794,1061,1234,600,2018-04-01
"53","Alabama","State","2018","05",658,800,1069,1243,605,2018-05-01
"54","Alabama","State","2018","06",663,805,1076,1251,609,2018-06-01
"55","Alabama","State","2018","07",662,804,1074,1250,608,2018-07-01
"56","Alabama","State","2018","08",661,803,1072,1248,607,2018-08-01
"57","Alabama","State","2018","09",659,801,1070,1245,606,2018-09-01
"58","Alabama","State","2018","10",663,805,1076,1252,609,2018-10-01
"59","Alabama","State","2018","11",665,808,1080,1256,611,2018-11-01
"60","Alabama","State","2018","12",667,811,1083,1260,613,2018-12-01
"61","Alabama","State","2019","01",666,809,1081,1257,612,2019-01-01
"62","Alabama","State","2019","02",664,807,1078,1254,610,2019-02-01
"63","Alabama","State","2019","03",663,805,1076,1251,609,2019-03-01
"64","Alabama","State","2019","04",667,811,1083,1260,613,2019-04-01
"65","Alaska","State","2014","01",961,1230,1738,2086,841,2014-01-01
"66","Alaska","State","2014","02",967,1237,1748,2098,846,2014-02-01
"67","Alaska","State","2014","03",969,1239,1751,2102,848,2014-03-01
