"","city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population"
"1","Prairie Ridge","Prairie Ridge","WA","Washington",53053,"Pierce",47.1443,-122.1408,NA
"2","Edison","Edison","WA","Washington",53057,"Skagit",48.5602,-122.4311,NA
"3","Packwood","Packwood","WA","Washington",53041,"Lewis",46.6085,-121.6702,NA
"4","Wautauga Beach","Wautauga Beach","WA","Washington",53035,"Kitsap",47.5862,-122.5482,NA
"5","Harper","Harper","WA","Washington",53035,"Kitsap",47.5207,-122.5196,NA
"6","Telma","Telma","WA","Washington",53007,"Chelan",47.8432,-120.8157,NA
"7","Kahlotus","Kahlotus","WA","Washington",53021,"Franklin",46.6437,-118.5565,199
"8","Mondovi","Mondovi","WA","Washington",53043,"Lincoln",47.6813,-118.0164,NA
"9","Washtucna","Washtucna","WA","Washington",53001,"Adams",46.754,-118.3106,204
"10","Pleasant Hill","Pleasant Hill","WA","Washington",53033,"King",47.6154,-121.9096,NA
"11","Toledo","Toledo","WA","Washington",53041,"Lewis",46.4412,-122.8493,751
"12","Wabash","Wabash","WA","Washington",53033,"King",47.2429,-122.0576,NA
"13","Renton","Renton","WA","Washington",53033,"King",47.4758,-122.1905,101379
"14","Chehalis","Chehalis","WA","Washington",53041,"Lewis",46.6637,-122.9647,7533
"15","Marcellus","Marcellus","WA","Washington",53001,"Adams",47.2335,-118.4053,NA
"16","Central Valley","Central Valley","WA","Washington",53035,"Kitsap",47.6632,-122.6499,NA
"17","Ralston","Ralston","WA","Washington",53001,"Adams",46.9838,-118.3427,NA
"18","Lake City","Lake City","WA","Washington",53053,"Pierce",47.1487,-122.5512,NA
"19","Megler","Megler","WA","Washington",53049,"Pacific",46.2509,-123.8576,NA
"20","Alder","Alder","WA","Washington",53053,"Pierce",46.7872,-122.2666,NA
"21","Goose Prairie","Goose Prairie","WA","Washington",53077,"Yakima",46.8951,-121.267,NA
"22","Belvedere","Belvedere","WA","Washington",53047,"Okanogan",48.0499,-118.985,NA
"23","Waverly","Waverly","WA","Washington",53063,"Spokane",47.3381,-117.2313,108
"24","Turner Corner","Turner Corner","WA","Washington",53061,"Snohomish",47.8045,-122.1435,NA
"25","Lofall","Lofall","WA","Washington",53035,"Kitsap",47.8114,-122.6563,NA
"26","Kennydale","Kennydale","WA","Washington",53033,"King",47.5207,-122.2068,NA
"27","Easton","Easton","WA","Washington",53037,"Kittitas",47.2405,-121.1733,NA
"28","Navy Yard City","Navy Yard City","WA","Washington",53035,"Kitsap",47.5508,-122.6655,NA
"29","Mercer Island","Mercer Island","WA","Washington",53033,"King",47.5625,-122.2265,25261
"30","Lynnwood","Lynnwood","WA","Washington",53061,"Snohomish",47.8285,-122.3034,38273
"31","Coulee City","Coulee City","WA","Washington",53025,"Grant",47.612,-119.2892,567
"32","Douglas","Douglas","WA","Washington",53017,"Douglas",47.6212,-120.0048,NA
"33","Centralia","Centralia","WA","Washington",53041,"Lewis",46.7226,-122.9695,41643
"34","Colbert","Colbert","WA","Washington",53063,"Spokane",47.8266,-117.3419,NA
"35","Bryn Mawr","Bryn Mawr","WA","Washington",53033,"King",47.5034,-122.2329,NA
"36","Silverdale","Silverdale","WA","Washington",53035,"Kitsap",47.6663,-122.6828,NA
"37","Lyle","Lyle","WA","Washington",53039,"Klickitat",45.6956,-121.2805,NA
"38","Malott","Malott","WA","Washington",53047,"Okanogan",48.2919,-119.6955,NA
"39","Mountlake Terrace","Mountlake Terrace","WA","Washington",53061,"Snohomish",47.792,-122.3076,21337
"40","Ilwaco","Ilwaco","WA","Washington",53049,"Pacific",46.3108,-124.0422,945
"41","Fairwood","Fairwood","WA","Washington",53033,"King",47.4467,-122.143,NA
"42","Warm Beach","Warm Beach","WA","Washington",53061,"Snohomish",48.1649,-122.3442,NA
"43","Thomas","Thomas","WA","Washington",53033,"King",47.3537,-122.229,NA
"44","Parker","Parker","WA","Washington",53077,"Yakima",46.5022,-120.4668,NA
"45","Steptoe","Steptoe","WA","Washington",53075,"Whitman",47.0075,-117.3502,NA
"46","Vail","Vail","WA","Washington",53067,"Thurston",46.8451,-122.6562,NA
"47","Magnolia Beach","Magnolia Beach","WA","Washington",53033,"King",47.382,-122.4832,NA
"48","Lakeview","Lakeview","WA","Washington",53053,"Pierce",47.1593,-122.4982,NA
"49","Shaw Island","Shaw Island","WA","Washington",53055,"San Juan",48.5843,-122.9291,NA
"50","Oakesdale","Oakesdale","WA","Washington",53075,"Whitman",47.1305,-117.2465,442
"51","Rosburg","Rosburg","WA","Washington",53069,"Wahkiakum",46.3076,-123.6344,NA
"52","Seattle","Seattle","WA","Washington",53033,"King",47.6211,-122.3244,3643765
"53","Onalaska","Onalaska","WA","Washington",53041,"Lewis",46.5783,-122.7112,NA
"54","George","George","WA","Washington",53025,"Grant",47.0846,-119.8598,507
"55","Index","Index","WA","Washington",53061,"Snohomish",47.8212,-121.5556,205
"56","Winchester","Winchester","WA","Washington",53025,"Grant",47.249,-119.7198,NA
"57","Chelatchie","Chelatchie","WA","Washington",53011,"Clark",45.9279,-122.3795,NA
"58","Allentown","Allentown","WA","Washington",53033,"King",47.4943,-122.2762,NA
