"","Month","Year","AllBeds","OneBed","TwoBeds","State","City","Date"
"1",1,2011,680,451,708,"KS","Wichita",2011-01-01
"2",2,2011,635,439,603,"KS","Wichita",2011-02-01
"3",3,2011,693,495,780,"KS","Wichita",2011-03-01
"4",4,2011,683,488,847,"KS","Wichita",2011-04-01
"5",5,2011,609,482,877,"KS","Wichita",2011-05-01
"6",6,2011,605,483,935,"KS","Wichita",2011-06-01
"7",7,2011,589,457,837,"KS","Wichita",2011-07-01
"8",8,2011,578,488,674,"KS","Wichita",2011-08-01
"9",9,2011,579,506,655,"KS","Wichita",2011-09-01
"10",10,2011,587,507,664,"KS","Wichita",2011-10-01
"11",11,2011,579,506,656,"KS","Wichita",2011-11-01
"12",12,2011,576,479,647,"KS","Wichita",2011-12-01
"13",1,2012,609,495,681,"KS","Wichita",2012-01-01
"14",2,2012,580,488,625,"KS","Wichita",2012-02-01
"15",3,2012,571,507,579,"KS","Wichita",2012-03-01
"16",4,2012,597,483,593,"KS","Wichita",2012-04-01
"17",5,2012,654,470,663,"KS","Wichita",2012-05-01
"18",6,2012,642,465,636,"KS","Wichita",2012-06-01
"19",7,2012,654,491,611,"KS","Wichita",2012-07-01
"20",8,2012,652,497,619,"KS","Wichita",2012-08-01
"21",9,2012,651,467,641,"KS","Wichita",2012-09-01
"22",10,2012,653,483,613,"KS","Wichita",2012-10-01
"23",11,2012,671,523,618,"KS","Wichita",2012-11-01
"24",12,2012,608,488,599,"KS","Wichita",2012-12-01
"25",1,2013,618,485,629,"KS","Wichita",2013-01-01
"26",2,2013,614,480,630,"KS","Wichita",2013-02-01
"27",3,2013,635,474,636,"KS","Wichita",2013-03-01
"28",4,2013,642,463,638,"KS","Wichita",2013-04-01
"29",5,2013,617,458,640,"KS","Wichita",2013-05-01
"30",6,2013,610,464,651,"KS","Wichita",2013-06-01
"31",7,2013,608,463,638,"KS","Wichita",2013-07-01
"32",8,2013,594,474,623,"KS","Wichita",2013-08-01
"33",9,2013,584,459,611,"KS","Wichita",2013-09-01
"34",10,2013,583,464,601,"KS","Wichita",2013-10-01
"35",11,2013,565,459,584,"KS","Wichita",2013-11-01
"36",12,2013,533,447,567,"KS","Wichita",2013-12-01
"37",1,2014,549,461,586,"KS","Wichita",2014-01-01
"38",2,2014,543,470,586,"KS","Wichita",2014-02-01
"39",3,2014,558,483,591,"KS","Wichita",2014-03-01
"40",4,2014,572,493,631,"KS","Wichita",2014-04-01
"41",5,2014,574,491,646,"KS","Wichita",2014-05-01
"42",6,2014,575,491,624,"KS","Wichita",2014-06-01
"43",7,2014,594,492,638,"KS","Wichita",2014-07-01
"44",8,2014,603,493,647,"KS","Wichita",2014-08-01
"45",9,2014,606,500,660,"KS","Wichita",2014-09-01
