"Date","StateAbbr","State","City","CityID","CountyFips","AllBeds","OneBed","TwoBeds","SP500","InterestRate","HomePriceIndex","AdjPopulation","AdjViolentCrime","AdjMurder","AdjLarcenyTheft","AdjEarnS","AdjPayroll"
2011-01-01,"KS","Kansas","Wichita",34147,"20173",680,451,708,1271.869995,3.342,139.049,384796,2950,25,13550,3594,2486709435
2011-02-01,"KS","Kansas","Wichita",34147,"20173",635,439,603,1307.589966,3.443,137.746,384930,2943,25,13698,3621.5,2517163390.5
2011-03-01,"KS","Kansas","Wichita",34147,"20173",693,495,780,1306.329956,3.414,137.794,385065,2936,25,13847,3649,2547617346
2011-04-01,"KS","Kansas","Wichita",34147,"20173",683,488,847,1332.410034,3.451,139.156,385199,2930,24,13995,3661.66666666667,2534248147
2011-05-01,"KS","Kansas","Wichita",34147,"20173",609,482,877,1361.219971,3.286,140.685,385334,2923,24,14144,3674.33333333333,2520878948
2011-06-01,"KS","Kansas","Wichita",34147,"20173",605,483,935,1314.550049,2.966,141.936,385468,2916,24,14292,3687,2507509749
2011-07-01,"KS","Kansas","Wichita",34147,"20173",589,457,837,1339.670044,3.197,142.332,385602,2910,24,14440,3737,2568926313.33333
2011-08-01,"KS","Kansas","Wichita",34147,"20173",578,488,674,1286.939941,2.74,141.775,385737,2903,24,14589,3787,2630342877.66667
2011-09-01,"KS","Kansas","Wichita",34147,"20173",579,506,655,1204.420044,2.146,140.159,385871,2896,24,14737,3837,2691759442
2011-10-01,"KS","Kansas","Wichita",34147,"20173",587,507,664,1099.22998,1.785,138.402,386006,2889,24,14886,3840,2685957104
2011-11-01,"KS","Kansas","Wichita",34147,"20173",579,506,656,1218.280029,2.001,136.659,386140,2882,23,15034,3843,2680154766
2011-12-01,"KS","Kansas","Wichita",34147,"20173",576,479,647,1244.579956,2.117,135.162,386275,2876,23,15183,3846,2674352428
2012-01-01,"KS","Kansas","Wichita",34147,"20173",609,495,681,1277.060059,1.96,134.166,386409,2869,23,15331,3849,2668550090
2012-02-01,"KS","Kansas","Wichita",34147,"20173",580,488,625,1324.089966,1.846,133.999,386415,2885,22,15294,3756,2610001243.5
2012-03-01,"KS","Kansas","Wichita",34147,"20173",571,507,579,1374.089966,2.037,135.872,386422,2902,22,15257,3663,2551452397
2012-04-01,"KS","Kansas","Wichita",34147,"20173",597,483,593,1419.040039,2.193,138.483,386428,2918,21,15220,3640,2518190077
2012-05-01,"KS","Kansas","Wichita",34147,"20173",654,470,663,1405.819946,1.956,141.06,386435,2934,20,15182,3617,2484927757
2012-06-01,"KS","Kansas","Wichita",34147,"20173",642,465,636,1278.040039,1.467,143.177,386441,2951,20,15145,3594,2451665437
2012-07-01,"KS","Kansas","Wichita",34147,"20173",654,491,611,1365.51001,1.58,144.286,386448,2967,19,15108,3700.66666666667,2556177956.33333
2012-08-01,"KS","Kansas","Wichita",34147,"20173",652,497,619,1375.319946,1.539,144.708,386454,2983,18,15071,3807.33333333333,2660690475.66667
2012-09-01,"KS","Kansas","Wichita",34147,"20173",651,467,641,1404.939941,1.581,144.364,386460,3000,18,15034,3914,2765202995
2012-10-01,"KS","Kansas","Wichita",34147,"20173",653,483,613,1444.48999,1.625,143.976,386467,3016,17,14996,3887.75,2743838389
2012-11-01,"KS","Kansas","Wichita",34147,"20173",671,523,618,1427.589966,1.715,143.972,386473,3032,16,14959,3861.5,2722473783
2012-12-01,"KS","Kansas","Wichita",34147,"20173",608,488,599,1409.459961,1.628,143.878,386480,3049,16,14922,3835.25,2701109177
2013-01-01,"KS","Kansas","Wichita",34147,"20173",618,485,629,1462.420044,1.839,144.316,386486,3065,15,14885,3809,2679744571
2013-02-01,"KS","Kansas","Wichita",34147,"20173",614,480,630,1513.170044,2.01,145.161,386625,3097,16,14853,3751.5,2665481699.5
2013-03-01,"KS","Kansas","Wichita",34147,"20173",635,474,636,1518.199951,1.853,147.961,386764,3130,16,14822,3694,2651218828
2013-04-01,"KS","Kansas","Wichita",34147,"20173",642,463,638,1562.170044,1.84,150.977,386903,3162,16,14790,3674.33333333333,2608496773.66667
2013-05-01,"KS","Kansas","Wichita",34147,"20173",617,458,640,1582.699951,1.639,153.874,387042,3194,17,14759,3654.66666666667,2565774719.33333
2013-06-01,"KS","Kansas","Wichita",34147,"20173",610,464,651,1640.420044,2.134,156.446,387181,3226,18,14727,3635,2523052665
2013-07-01,"KS","Kansas","Wichita",34147,"20173",608,463,638,1614.959961,2.49,158.309,387320,3258,18,14696,3737.66666666667,2626012482.66667
